question,answer
The Soldiers and Sailors Memorial Hall and Museum houses exhibits related to what?,military exhibits
"What does ""PAYGO"" stand for in the city budget?",Pay-As-You-Go
What is the total amount authorized for transfer from the general fund to a PAYGO fund for the 2024 Capital Budget?,"$22,578,036"
What is the title of the head of the Office of Management and Budget?,Director
How many districts does the City Council represent?,nine
What is the 2024 budget for City Council Districts?,"$3,341,102"
What is the 2024 budget for the Office of the Mayor?,"$5,033,801"
What is the 2024 budget for the Department of Innovation and Performance?,"$22,444,776"
What is the 2024 budget for the Commission on Human Relations?,"$748,299"
What is the 2024 budget for the Office of the City Controller?,"$4,904,488"
What is the 2024 budget for the Department of Law?,"$12,990,528"
What is the 2024 budget for the Department of City Planning?,"$9,074,871"
What is the 2024 budget for the Bureau of Emergency Medical Services?,"$29,187,223"
What is the 2024 budget for the Bureau of Animal Care and Control?,"$1,906,103"
What is the 2024 budget for the Department of Public Works?,"$74,814,798"
"What does ""FTE"" stand for in the position summary tables?",full-time equivalent
What is the salary for the Mayor in 2024?,"$132,249"
What is the salary for the Chief of Staff in 2024?,"$131,634"
Which division of the Office of Management and Budget is responsible for the capital budget?,Capital and Asset Management
Which division of the Department of Public Works is responsible for managing the city's urban forest?,Forestry Division
Which bureau is responsible for collecting solid waste and recycling?,Bureau of Environmental Services
What is the purpose of the Community Development Trust Fund?,to facilitate the receipts and disbursements of the programs that are funded by the U.S. Department of Housing & Urban Development (HUD)
What is the source of revenue for the Liquid Fuels Trust Fund?,Liquid Fuels Tax proceeds from the state
"How much is the fee for a Commercial Building Permit with a construction value between $50,000.01 and $250,000?",$900
What is the hourly rate for a Police Officer (1st year - 4th year) working a secondary employment event?,$63.69 per hour
What is the daily pool pass fee for an adult (16+)?,$5
What is the fee for a one-year license for a non-neutered dog?,$20.00
What is the annual appropriation for the Stop the Violence fund in 2024?,"$9,852,848"
What is the title of the head of the Department of Public Works?,Director of Public Works
What is the City of Pittsburgh's main operating fund called?,The General Fund
What is the total budgeted expenditure for Salaries in 2024?,"$291,639,184"
What is the total budgeted expenditure for Health Benefits in 2024?,"$67,301,217"
What is the total budgeted expenditure for Pension & OPEB in 2024?,"$113,699,165"
"Which department is responsible for the collection, deposit, and investment of all city funds?",The Finance Department
Which department is responsible for labor negotiations for city employees?,The Labor and Employment Division
"What does ""CPRB"" stand for?",Citizen Police Review Board
How many members are on the Citizen Police Review Board?,seven
What is the total revenue from the Earned Income Tax in the 2024 budget?,"$136,190,443"
What is the total revenue from the Payroll Preparation Tax in the 2024 budget?,"$76,327,936"
What is the total revenue from the Parking Tax in the 2024 budget?,"$51,554,031"
What is the total revenue from the Deed Transfer Tax in the 2024 budget?,"$59,133,757"
What is the 2024 budget for the Ethics Hearing Board?,"$188,972"
"How much is budgeted for ""Premium Pay"" for the Bureau of Police in 2024?","$17,000,000"
"What is the date of the ""Roll for a Reason Gala""?","Saturday, November 1, 2025"
"Where is the ""Birding Expedition: Blue Spruce State Park"" on November 2nd, 2025?",Blue Spruce State Park
"What time is the ""Holiday Truffle Cooking Class"" on November 6, 2025?",6-8 p.m.
"Where can you see the performance of ""Disney's Newsies"" in November?",Byham Theater
"What is the date for the ""Screaming Orphans Christmas Show""?","Fri., Dec. 5, 8-10:30 p.m."
"What event is happening at The Frick Pittsburgh on December 6, 2025?",Nordic Noel: A Handbell Concert at the Frick
"Where can you see ""The Nutcracker Ballet"" in December 2025?",The Palace Theatre
"What is the date of the ""Totally Awesome New Year's Eve w/ My Own Worst 90's Band""?","Wed., Dec. 31, 8-11 p.m."
"Where is the ""Pride Movie Night"" being held?",Greensburg Garden & Civic Center
"What is the date of the ""Pittsburgh Reptile Show & Sale""?","Sun., Nov. 2, 9 a.m.-3 p.m."
"Where can you attend a ""Beef Wellington Cooking Class"" on November 20, 2025?",In the Kitchen
"What is the name of the band playing at The Funhouse @ Mr. Smalls on November 21, 2025?",Bartees Strange
"What movie is being screened at the Kamin Science Center on November 28, 2025?",Batman Returns
"Where is the ""5th Annual Shop Small Crawl"" taking place?",New Kensington
